"","GoodForKids","RestaurantsReservations","Caters","RestaurantsTableService","RestaurantsTakeOut","RestaurantsPriceRange2","OutdoorSeating","BikeParking","HasTV","RestaurantsGoodForGroups","RestaurantsDelivery","BusinessAcceptsCreditCards","BusinessAcceptsBitcoin","ByAppointmentOnly","AcceptsInsurance","GoodForDancing","CoatCheck","HappyHour","WheelchairAccessible","DogsAllowed","DriveThru","AgesAllowed","Corkage","BYOB","Open24Hours","stars","reviewcount","state"
"1",3,1,0,0,3,2,1,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,"OH"
"2",3,1,0,0,3,1,1,0,1,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,35,"PA"
"3",1,1,3,1,3,2,1,3,1,3,1,3,1,0,0,1,1,3,2,0,0,0,0,0,0,4.5,242,"PA"
"4",3,1,3,3,3,2,1,3,3,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4.5,106,"PA"
"5",1,2,3,0,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,"PA"
"6",3,1,1,3,1,1,3,1,3,3,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,4,8,"OH"
"7",1,1,1,1,3,2,1,3,3,3,1,3,1,0,0,0,1,3,2,1,0,0,0,0,0,3.5,12,"OH"
"8",3,1,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,"PA"
"9",1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4,"OH"
"10",3,2,3,0,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,47,"OH"
"11",3,1,1,0,3,1,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,"PA"
"12",1,2,3,3,3,2,3,3,0,3,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,2.5,7,"PA"
"13",3,2,0,0,3,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,17,"OH"
"14",3,1,0,0,3,2,3,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,"PA"
"15",3,1,3,1,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,75,"PA"
"16",3,1,0,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,44,"OH"
"17",3,1,3,1,3,1,3,3,3,3,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,4,16,"OH"
"18",3,1,3,1,1,4,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"OH"
"19",3,1,1,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,"OH"
"20",3,1,1,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,43,"OH"
"21",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,10,"PA"
"22",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,"PA"
"23",3,1,0,0,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,35,"OH"
"24",0,0,3,0,3,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,56,"PA"
"25",3,1,0,1,3,1,0,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,"OH"
"26",3,1,0,0,3,1,1,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,"PA"
"27",1,1,0,0,3,2,3,3,1,3,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3.5,166,"PA"
"28",3,1,3,1,3,1,3,3,3,3,1,3,1,0,0,0,0,0,2,1,0,0,0,0,0,4,43,"PA"
"29",1,1,3,0,3,2,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,"OH"
"30",3,2,1,0,3,1,1,0,1,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,4.5,3,"OH"
"31",1,1,1,0,3,1,3,1,3,3,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,4,26,"PA"
"32",3,1,0,0,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,"OH"
"33",3,1,1,0,3,2,3,3,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,752,"PA"
"34",3,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3,"OH"
"35",3,1,0,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,"PA"
"36",1,1,0,0,3,1,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,"OH"
"37",1,1,0,0,3,1,1,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,"OH"
"38",3,1,3,0,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,28,"PA"
"39",1,1,1,0,3,1,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,"PA"
"40",1,2,0,0,3,2,3,0,3,3,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,4,62,"OH"
"41",3,1,1,0,3,1,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,"PA"
"42",3,2,3,0,3,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,132,"PA"
"43",3,1,0,0,3,1,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,"PA"
"44",3,1,1,3,3,2,3,1,3,3,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,54,"PA"
"45",3,1,1,0,3,2,3,3,3,3,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,80,"OH"
"46",3,1,0,0,3,1,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,4,"PA"
"47",3,1,0,0,3,2,3,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"OH"
"48",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,5,"PA"
"49",1,2,1,0,3,3,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,207,"OH"
"50",3,1,3,3,3,2,3,1,3,3,1,3,0,0,0,1,1,3,2,0,1,0,0,0,0,3.5,79,"OH"
"51",3,1,0,0,3,1,1,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,"OH"
"52",3,1,3,0,3,1,1,1,3,3,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,3,4,"PA"
"53",3,1,1,0,3,1,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,"OH"
"54",3,1,0,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,"OH"
"55",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,74,"PA"
"56",0,1,0,0,3,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,7,"OH"
"57",3,1,3,1,3,2,1,1,3,3,3,3,1,0,0,0,0,0,2,1,0,0,0,0,0,4.5,96,"PA"
"58",3,2,1,3,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,128,"OH"
"59",3,2,0,3,3,2,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,"OH"
"60",3,1,3,1,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,19,"PA"
"61",1,1,1,0,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,24,"PA"
"62",0,1,1,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"OH"
"63",3,1,0,0,3,2,3,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,"OH"
"64",3,1,0,3,3,2,3,3,3,3,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,3.5,36,"PA"
"65",3,1,3,0,3,1,3,1,1,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,40,"OH"
"66",3,1,3,0,3,1,1,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,"PA"
"67",3,1,0,0,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"OH"
"68",1,2,3,0,3,3,3,3,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5,138,"PA"
"69",3,0,3,0,3,2,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,9,"PA"
"70",3,1,3,0,3,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,"OH"
"71",0,0,1,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,"OH"
"72",1,1,1,3,1,2,3,1,3,3,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,3,77,"PA"
"73",3,2,3,0,3,2,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,"PA"
