business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
fweCYi8FmbJXHCqLnwuk8w,Marco's Pizza,5981 Andrews Rd,Mentor-on-the-Lake,OH,44060,41.70852,-81.359556,4,16,"Italian, Restaurants, Pizza, Chicken Wings"
1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",Pittsburgh,PA,15231,40.4961769456,-80.2460112364,4,35,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food"
dQj5DLZjeDK3KFysh1SYOQ,Apteka,4606 Penn Ave,Pittsburgh,PA,15224,40.4656937,-79.9493238,4.5,242,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan"
v-scZMU6jhnmV955RSzGJw,No. 1 Sushi Sushi,436 Market St,Pittsburgh,PA,15222,40.441062,-80.002126,4.5,106,"Japanese, Sushi Bars, Restaurants"
KFbUQ-RR2UOV62Ep7WnXHw,Westwood Bar & Grill,825 Commonwealth Ave,West Mifflin,PA,15122,40.376674,-79.88248,3,5,"American (Traditional), Restaurants"
7aLkFEBnL1LJmQdcuaovuQ,Ohio Beer Garden,402 Great Northern Blvd,North Olmsted,OH,44070,41.4165875685,-81.9043700652,4,8,"Restaurants, Pubs, Bars, Nightlife, American (Traditional), Beer Gardens"
0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,6625 Dean Memorial Pkwy,Hudson,OH,44236,41.261133,-81.503467,3.5,12,"Pubs, Restaurants, Bars, Event Planning & Services, American (Traditional), Nightlife, Lounges, Venues & Event Spaces, Sports Bars"
5WMIvoMx3l1vn1uJ3HZB6Q,Subway,411 7th Ave,Pittsburgh,PA,15219,40.4428627,-79.996412,3,3,"Fast Food, Sandwiches, Restaurants"
OwXMxqxIy4YoprAjnoUoiA,B & M Bar-B-Que Shaw,12700 Shaw Ave,Cleveland,OH,44108,41.5408904,-81.5953266,3.5,4,"Barbeque, Restaurants"
U3-kxz7NWq4ix4bPmKKQ0w,Aladdin's Eatery,8870 Mentor Ave,Mentor,OH,44060,41.6738589,-81.3228213,4.5,47,"Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern"
q4P3WHwC0lFafwvTlkKMIw,Ron's Pizza Palace,1535 Lowrie St,Pittsburgh,PA,15212,40.4620076,-79.9838041,3,6,"Restaurants, Pizza"
hZj2HCiLae5-AxIp0im6lQ,Route 28 Bar & Grille,180 Gamma Dr,Pittsburgh,PA,15238,40.5015563,-79.8606291,2.5,7,"Bars, Nightlife, Restaurants, American (Traditional)"
3e0IGa_-zqTemKLc1dbdmg,Phusion Cafe,11611 Euclid Ave,Cleveland,OH,44106,41.5109853006,-81.6030496359,3.5,17,"Restaurants, Taiwanese"
El6Bum4I-0VWJRgzbtscJQ,Jimmy John's,12061 Perry Hwy,Wexford,PA,15090,40.6320562,-80.0585513,3,11,"Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis"
F6c3D1o9Z4Tl6cDorb3WgA,Hello Bistro,701 Providence Blvd,Pittsburgh,PA,15237,40.5701342672,-80.0214552865,3.5,75,"Burgers, Restaurants, Cafes, Salad, Sandwiches"
JO5_Frcbp9J732VNn-I3Ew,Steak ’n Shake,3316 Center Rd,Brunswick,OH,44212,41.2378014833,-81.8060022,2,44,"American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)"
dtpFxDbBTBl90NyttDqoMg,2 Girls' Cafe & Bakery,3707 Darrow Rd,Stow,OH,44224,41.1654526,-81.4392963,4,16,"Food, Restaurants, Bakeries, Cafes"
lK-wuiq8b1TuU7bfbQZgsg,Hingetown,,Cleveland,OH,44113,41.4893428107,-81.711028698,3,4,"Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists"
p8u03IURLPg_5jYSY3OmMQ,Farmer Boy,610 E Cuyahoga Falls Ave,Akron,OH,44310,41.113789,-81.496875,3,34,"American (New), Restaurants"
3KzzG6dw5aN9eIo3cGHaSA,Steak ’n Shake,5051 Som Center Rd,Willoughby,OH,44094,41.6234487,-81.4392608,2.5,43,"Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners"
pvKp4m3eFeHv15kYZaq1Bw,Papa John's,113 Cavasina Dr,Canonsburd,PA,15317,40.2634088,-80.1738737,1.5,10,"Restaurants, Pizza"
i68lkBrGgUVwOk-LSvMj_A,Sree's Foods,116 Meyran Ave,Pittsburgh,PA,15213,40.4407672,-79.9587973,3,8,"Pakistani, Indian, Restaurants, Food"
MYMoho8uONfkTvaVNL-pVQ,JC's Restaurant,13816 W Center St,Burton,OH,44021,41.4709663391,-81.1464233398,3.5,35,"Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants"
U9vCFCDQMQ8GFr5z48h8tQ,Nancy B's Bakery,415 7th Ave,West Homestead,PA,15120,40.4028552,-79.9171699,5,56,"Bakeries, Food, Restaurants"
r80qDv4gFhnixb2GRUmKeQ,Jet's Pizza,5344 Pearl Rd,Parma,OH,44129,41.4155836,-81.731971,4,22,"Restaurants, Pizza, Chicken Wings, Sandwiches"
UmFty_GxdqVe35apYnmGbw,Showcase Pizza,109 Curry Hollow Rd,Pittsburgh,PA,15236,40.3398763,-79.9675504,3,8,"Pizza, Restaurants"
JrrY4v21k7_qYxIidhi-aw,Kelly's Bar & Lounge,6012 Penn Cir S,Pittsburgh,PA,15206,40.4599920866,-79.9244865083,3.5,166,"Lounges, Nightlife, American (Traditional), Bars, Restaurants"
BpJDI4Fj92lLNALQQeLvLg,Slice On Broadway,115 Federal St,Pittsburgh,PA,15212,40.4471068992,-80.004138972,4,43,"Pizza, Sandwiches, Salad, Restaurants"
HGc61UN2Gr9RGQXC6mXFNQ,Swirl Wine Bar,33325 Bainbridge Rd,Solon,OH,44139,41.39023,-81.442376,4,71,"Wine Bars, Nightlife, American (New), Restaurants, Bars, Tapas/Small Plates"
TNQMnauUy5jposO9P6WcJQ,Farmer Boy Restaurant,46323 Telegraph Rd,Amherst,OH,44001,41.3622256,-82.2208599,4.5,3,"Salad, Restaurants, Burgers, Breakfast & Brunch"
IcHVYlgNGR-Zz8fnceiJ6g,The Monkey Bar,703 Clairton Blvd,Pittsburgh,PA,15236,40.327059139,-79.9442769808,4,26,"Restaurants, American (Traditional), Bars, Nightlife"
vrSJPjntzfCPgogFPSCHiA,Don Patron,"9800 State Rt 14, Ste E",Streetsboro,OH,44241,41.2532681839,-81.3638442734,4,48,"Mexican, Food, Ethnic Food, Restaurants, Specialty Food, Imported Food"
sMzNLdhJZGzYirIWt-fMAg,Sienna Mercato,942 Penn Ave,Pittsburgh,PA,15222,40.4439496,-79.9964366,4,752,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants"
jwRBWbgTuiaQUrv-FpT8uw,Foote's Valley Farm,5860 Canal Rd,Valley View,OH,44125,41.3981336104,-81.6262366623,3.5,3,"Fruits & Veggies, Delis, Restaurants, Bakeries, Specialty Food, Farms, Arts & Entertainment, Food"
FKQUxOfW_W5R4OTut4G1Vw,Peppi's,12 Smithfield St,Pittsburgh,PA,15222,40.436969,-80.0004543,4,37,"Restaurants, Sandwiches"
-pKhASvKFolihdipQfQXyA,Rally's,711 Cleveland Street,Elyria,OH,44035,41.3771708,-82.0770363,4,5,"Burgers, Fast Food, Restaurants"
kKTXiGVLEVpPA7r2R6baVw,Uncle Joe's Bar & Grill,6211 W 130th St,Parma Heights,OH,44130,41.394558,-81.783869,4,11,"Beer Bar, Beer, Wine & Spirits, Restaurants, American (New), Nightlife, Bars, Food"
nxeeZnumQkrEFORtFpwSvA,Tavern In The Wall,211 Commercial Ave,Pittsburgh,PA,15215,40.4903879,-79.904628400000007,3.5,28,"Nightlife, Restaurants, Bars, Burgers, Delis"
5G9aIrRiCD4TZCC5j2D39A,Dunkin' Donuts,541-543 Carnot Rd,Moon,PA,15108,40.5157666,-80.2216573,4,8,"Bagels, Donuts, Coffee & Tea, Breakfast & Brunch, Restaurants, Food"
